"","codigo_renacyt","Investigador","Genero","URL_CTI_Vitae","grupo","nivel","Fecha_de_inicio_de_vigencia","fecha_fin_de_vigencia","Rango_de_Edad","reglamento"
"20","P0041133","SARMIENTO CALISAYA, EDGAR","Masculino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=41133",NA,"VI",2022-02-08,NA,"Entre 40 a 49 años","Reglamento 2021"
"21","P0023251","SULCA JOTA, JUAN CARLOS","Masculino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=23251",NA,"IV",2022-02-10,NA,"Entre 30 a 39 años","Reglamento 2021"
"22","P0016021","GUEVARA VASQUEZ, JORGE ERNESTO","Masculino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=16021",NA,"V",2022-02-08,NA,"Entre 50 a 59 años","Reglamento 2021"
"23","P0095533","JIMENEZ PALACIOS, RICARDO","Masculino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=95533",NA,"VII",2022-02-08,NA,"Entre 30 a 39 años","Reglamento 2021"
"24","P0021136","SALAMANCA GUILLEN, JUAN JESUS","Masculino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=21136",NA,"VI",2022-02-10,NA,"Entre 30 a 39 años","Reglamento 2021"
"25","P0019904","VEJARANO MANTILLA, RICARDO DAVID","Masculino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=19904",NA,"III",2022-02-08,NA,"Entre 40 a 49 años","Reglamento 2021"
"26","P0046155","SANTOS ANDRADE, PAUL EFREN","Masculino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=46155",NA,"VII",2022-02-08,NA,"Entre 30 a 39 años","Reglamento 2021"
"27","P0010132","RODRIGUEZ DELFIN, LUIS ALBERTO","Masculino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=10132",NA,"VI",2022-02-10,NA,"Entre 60 a 69 años","Reglamento 2021"
"28","P0023193","YERA TOLEDO, RACIEL","Masculino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=23193",NA,"IV",2022-02-10,NA,"Entre 30 a 39 años","Reglamento 2021"
"29","P0001847","CHOQUE QUISPE, DAVID","Masculino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=1847",NA,"IV",2022-02-10,NA,"Entre 40 a 49 años","Reglamento 2021"
"30","P0095099","PAMPA CONDORI, RUBEN","Masculino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=95099",NA,"III",2022-02-08,NA,"Entre 40 a 49 años","Reglamento 2021"
"31","P0110203","CHOQUE QUISPE, YUDITH","Femenino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=110203",NA,"VI",2022-02-10,NA,"Entre 30 a 39 años","Reglamento 2021"
"32","P0026110","BUSTAMANTE MOSTAJO, DANILO EDSON","Masculino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=26110",NA,"II",2022-02-08,NA,"Entre 30 a 39 años","Reglamento 2021"
"33","P0060714","BARBOZA CASTILLO, ELGAR","Masculino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=60714",NA,"IV",2022-02-10,NA,"Entre 20 a 29 años","Reglamento 2021"
"34","P0015476","LIZARZABURU BOLAÑOS, EDMUNDO RAUL ANTONIO","Masculino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=15476",NA,"II",2022-02-10,NA,"Entre 40 a 49 años","Reglamento 2021"
"35","P0086514","AMARINGO CORTEGANO, CARLOS ANDRE","Masculino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=86514",NA,"VII",2022-02-10,NA,"Entre 30 a 39 años","Reglamento 2021"
"36","P0002090","PONCE VARGAS, MIGUEL ARMANDO","Masculino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=2090",NA,"I",2022-02-10,NA,"Entre 40 a 49 años","Reglamento 2021"
"37","P0010439","FERNANDEZ COZMAN, CAMILO RUBEN","Masculino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=10439",NA,"III",2022-02-10,NA,"Entre 50 a 59 años","Reglamento 2021"
"38","P0055871","PINEDO VICENTE, ROSA YSABEL","Femenino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=55871",NA,"IV",2022-02-08,NA,"Entre 40 a 49 años","Reglamento 2021"
"39","P0035171","SULLON BARRETO, GLEYDI ELISA","Femenino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=35171",NA,"VII",2022-02-08,NA,"Entre 40 a 49 años","Reglamento 2021"
"40","P0019623","LEON ROQUE, NOEMI","Femenino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=19623",NA,"VI",2022-02-09,NA,"Entre 40 a 49 años","Reglamento 2021"
"41","P0115263","SOLANO REYNOSO, AYDEE MARILU","Femenino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=115263",NA,"VI",2022-02-10,NA,"Entre 50 a 59 años","Reglamento 2021"
"42","P0004819","GOMEZ MARIN, GERMANY YUSEP","Masculino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=4819",NA,"VII",2022-02-10,NA,"Entre 30 a 39 años","Reglamento 2021"
"43","P0001644","LLANOS GARCIA, ALEJANDRO JOSE","Masculino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=1644",NA,"VII",2022-02-07,NA,"Entre 30 a 39 años","Reglamento 2021"
"44","P0018367","TUPAYACHI TRUJILLO, RAUL","Masculino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=18367",NA,"II",2022-02-09,NA,"Entre 40 a 49 años","Reglamento 2021"
"45","P0038253","SALAZAR TORRES, GIAN ANTHONY","Masculino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=38253",NA,"VII",2022-02-10,NA,"Entre 30 a 39 años","Reglamento 2021"
"46","P0021955","CENTURION RODRIGUEZ, FRANCO LUIGI","Masculino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=21955",NA,"IV",2022-02-10,NA,"Entre 30 a 39 años","Reglamento 2021"
"47","P0021770","GUTIERREZ SEGURA, FLABIO ALFONSO","Masculino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=21770",NA,"V",2022-02-10,NA,"Entre 50 a 59 años","Reglamento 2021"
"48","P0189904","REYES VARGAS, ANDY WILLIANS","Masculino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=189904",NA,"VII",2022-02-10,NA,"Entre 30 a 39 años","Reglamento 2021"
"49","P0102522","RAMOS PACHECO, BETSY SURI","Femenino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=102522",NA,"V",2022-02-10,NA,"Entre 30 a 39 años","Reglamento 2021"
"50","P0182618","YAPUCHURA OCARIS, ENRIQUE RONALD","Masculino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=182618",NA,"V",2022-02-10,NA,"Entre 40 a 49 años","Reglamento 2021"
"51","P0031509","CALLA CHOQUE, JAESON SANTOS","Masculino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=31509",NA,"IV",2022-02-08,NA,"Entre 40 a 49 años","Reglamento 2021"
"52","P0013501","DELGADO PAREDES, GUILLERMO EDUARDO","Masculino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=13501",NA,"IV",2022-02-10,NA,"Entre 60 a 69 años","Reglamento 2021"
"53","P0017977","ACHANCCARAY DIAZ, PEDRO MARCO","Masculino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=17977",NA,"VI",2022-02-09,NA,"Entre 30 a 39 años","Reglamento 2021"
"54","P0021063","PICHARDO RODRIGUEZ, RAFAEL MARTIN DE JESUS","Masculino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=21063",NA,"VI",2022-02-08,NA,"Entre 30 a 39 años","Reglamento 2021"
"55","P0016884","ZORRILLA CISNEROS, CINTHYA","Femenino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=16884",NA,"VI",2022-02-08,NA,"Entre 40 a 49 años","Reglamento 2021"
"56","P0000444","INOCENTE CAMONES, MIGUEL ANGEL","Masculino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=444",NA,"V",2022-02-10,NA,"Entre 30 a 39 años","Reglamento 2021"
"57","P0096400","DEL CASTILLO TORRES, RICARDO ABEL","Masculino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=96400",NA,"VII",2022-02-09,NA,"Entre 40 a 49 años","Reglamento 2021"
"58","P0014107","CHAVEZ VELASQUEZ, AMANDA CRISTINA","Femenino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=14107",NA,"I",2022-02-09,NA,"Entre 60 a 69 años","Reglamento 2021"
"59","P0032698","PAREDES MAMANI, RENE PAZ","Masculino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=32698",NA,"VII",2022-02-10,NA,"Entre 50 a 59 años","Reglamento 2021"
"60","P0020814","UGARTE GIL, MANUEL FRANCISCO","Masculino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=20814",NA,"Investigador Distinguido",2022-02-10,NA,"Entre 40 a 49 años","Reglamento 2021"
"61","P0015820","YARIN ACHACHAGUA, ANWAR JULIO","Masculino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=15820",NA,"V",2022-02-10,NA,"Entre 40 a 49 años","Reglamento 2021"
"62","P0101794","ALVARADO IBAÑEZ, JUAN CARLOS","Masculino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=101794",NA,"VI",2022-02-09,NA,"Entre 30 a 39 años","Reglamento 2021"
"63","P0094443","ATAMARI ANAHUI, NOE ISRAEL","Masculino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=94443",NA,"III",2022-02-10,NA,"Entre 20 a 29 años","Reglamento 2021"
"64","P0099300","ALEGRIA OLIVERA, JUAN JOSE","Masculino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=99300",NA,"VI",2022-02-08,NA,"Entre 40 a 49 años","Reglamento 2021"
"65","P0021568","RODRIGUEZ MASHACURI, HICLER NAPOLEON","Masculino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=21568",NA,"VII",2022-02-10,NA,"Entre 40 a 49 años","Reglamento 2021"
"66","P0016375","CASTAÑEDA VARGAS, PEDRO SEGUNDO","Masculino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=16375",NA,"VII",2022-02-10,NA,"Entre 40 a 49 años","Reglamento 2021"
"67","P0072449","CUEVAS DE LA CRUZ, CECILIA AURORA","Femenino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=72449",NA,"VI",2022-02-10,NA,"Entre 40 a 49 años","Reglamento 2021"
"68","P0012609","BARRIOS ARPI, LUIS MANUEL","Masculino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=12609",NA,"IV",2022-02-08,NA,"Entre 30 a 39 años","Reglamento 2021"
"69","P0003741","GAVILAN CHAVEZ, RONNIE GUSTAVO","Masculino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=3741",NA,"II",2022-02-09,NA,"Entre 40 a 49 años","Reglamento 2021"
"70","P0063325","VELEZMORO LEON, RICARDO","Masculino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=63325",NA,"VI",2022-02-10,NA,"Entre 60 a 69 años","Reglamento 2021"
"71","P0241787","RODRIGUEZ RAMIREZ, ERNESTO CHANES","Masculino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=241787",NA,"IV",2022-02-10,NA,"Entre 30 a 39 años","Reglamento 2021"
"72","P0021530","HERNANDEZ VASQUEZ, AKRAM ABDUL","Masculino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=21530",NA,"Investigador Distinguido",2022-02-10,NA,"Entre 40 a 49 años","Reglamento 2021"
"73","P0010308","BELTRAN SILVA, JORGE ARTURO","Masculino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=10308",NA,"VI",2022-02-09,NA,"Entre 40 a 49 años","Reglamento 2021"
"74","P0001477","RUIZ VASQUEZ, LILIANA","Femenino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=1477",NA,"V",2022-02-09,NA,"Entre 40 a 49 años","Reglamento 2021"
"75","P0011100","NOEL , JULIEN GEORGES ANDRE","Masculino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=11100",NA,"III",2022-02-10,NA,"Entre 40 a 49 años","Reglamento 2021"
"76","P0160212","MARÍN VELÁSQUEZ, TOMÁS DARÍO","Masculino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=160212",NA,"VI",2022-02-10,NA,"Entre 40 a 49 años","Reglamento 2021"
"77","P0101196","SAINTILA , JACKSAINT","Masculino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=101196",NA,"V",2022-02-10,NA,"Entre 30 a 39 años","Reglamento 2021"
"78","P0003443","MEDINA ESPINOZA, WENCESLAO TEDDY","Masculino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=3443",NA,"IV",2022-02-10,NA,"Entre 50 a 59 años","Reglamento 2021"
"79","P0056405","CUSIHUAMAN SISA, GREGORIO NICOLAS","Masculino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=56405",NA,"VI",2022-02-10,NA,"Entre 50 a 59 años","Reglamento 2021"
"80","P0077837","MUÑOZ PEREZ, SOCRATES PEDRO","Masculino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=77837",NA,"VI",2022-02-09,NA,"Entre 30 a 39 años","Reglamento 2021"
"81","P0031229","UGARTE ROJAS, WILLY GUSTAVO","Masculino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=31229",NA,"VI",2022-02-10,NA,"Entre 30 a 39 años","Reglamento 2021"
"82","P0034669","VILLARREAL ZEGARRA, DAVID ROGELIO","Masculino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=34669",NA,"III",2022-02-10,NA,"Entre 30 a 39 años","Reglamento 2021"
"83","P0019409","FERNANDEZ MIÑOPE, CARLOS ALBERTO","Masculino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=19409",NA,"VII",2022-02-10,NA,"Entre 30 a 39 años","Reglamento 2021"
"84","P0010167","CURIOSO VILCHEZ, WALTER HUMBERTO","Masculino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=10167",NA,"I",2022-02-10,NA,"Entre 40 a 49 años","Reglamento 2021"
"85","P0021405","PINARES HUAMANI, RUBEN","Masculino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=21405",NA,"VII",2022-02-10,NA,"Entre 30 a 39 años","Reglamento 2021"
"86","P0046268","MORALES VELASCO, CESAR AUGUSTO","Masculino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=46268",NA,"II",2022-02-10,NA,"Entre 50 a 59 años","Reglamento 2021"
"87","P0104372","YAPUCHURA SAICO, CRISTOBAL RUFINO","Masculino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=104372",NA,"V",2022-02-10,NA,"Entre 60 a 69 años","Reglamento 2021"
"88","P0017317","ESPINOZA PARDO, GRACE VIOLETA","Femenino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=17317",NA,"V",2022-02-09,NA,"Entre 30 a 39 años","Reglamento 2021"
"89","P0004091","ROSALES HUAMANI, JIMMY AURELIO","Masculino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=4091",NA,"V",2022-02-08,NA,"Entre 50 a 59 años","Reglamento 2021"
"90","P0064849","AREVALO FLORES, JORGE MARTIN","Masculino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=64849",NA,"VII",2022-02-08,NA,"Entre 40 a 49 años","Reglamento 2021"
"91","P0019384","NAVARRO MAMANI, DENNIS ALEXANDER","Masculino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=19384",NA,"VI",2022-02-08,NA,"Entre 30 a 39 años","Reglamento 2021"
"92","P0098241","ORTEGA CHAVEZ, WILMER","Masculino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=98241",NA,"VI",2022-02-10,NA,"Entre 40 a 49 años","Reglamento 2021"
"93","P0013446","MAXIMILIANO GUERRA, JORGE ENRIQUE","Masculino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=13446",NA,"V",2022-02-10,NA,"Entre 40 a 49 años","Reglamento 2021"
"94","P0030141","PAZ SIFUENTES, FREDDY ASRAEL","Masculino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=30141",NA,"VI",2022-02-10,NA,"Entre 60 a 69 años","Reglamento 2021"
"95","P0034996","MOYANO MUÑOZ, JUAN JOSE AUGUSTO","Masculino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=34996",NA,"V",2022-02-10,NA,"Entre 30 a 39 años","Reglamento 2021"
"96","P0011631","RIVERA LOZADA, ORIANA","Femenino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=11631",NA,"III",2022-02-10,NA,"Entre 40 a 49 años","Reglamento 2021"
"97","P0003750","LUCAS LOPEZ, JUAN RAUL","Masculino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=3750",NA,"III",2022-02-08,NA,"Entre 30 a 39 años","Reglamento 2021"
"98","P0023654","SOTOMAYOR ALZAMORA, GUINA GUADALUPE","Femenino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=23654",NA,"VI",2022-02-08,NA,"Entre 40 a 49 años","Reglamento 2021"
"99","P0000112","MELLISHO SALAS, EDWIN ALBERTO","Masculino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=112",NA,"V",2022-02-10,NA,"Entre 40 a 49 años","Reglamento 2021"
"100","P0013746","CHAMORRO GOMEZ, ADOLFO VICENTE","Masculino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=13746",NA,"VI",2022-02-10,NA,"Entre 40 a 49 años","Reglamento 2021"
"101","P0021441","NINA HANCO, HERNAN","Masculino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=21441",NA,"VII",2022-02-08,NA,"Entre 40 a 49 años","Reglamento 2021"
"102","P0000076","SHIVA RAMAYONI, CARLOS MARTIN","Masculino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=76",NA,"V",2022-02-10,NA,"Entre 50 a 59 años","Reglamento 2021"
"103","P0012601","RONDON ESPINOZA, JUAN ALEXANDER","Masculino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=12601",NA,"VI",2022-02-10,NA,"Entre 40 a 49 años","Reglamento 2021"
"104","P0019945","OBLITAS CRUZ, JIMY FRANK","Masculino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=19945",NA,"III",2022-02-08,NA,"Entre 40 a 49 años","Reglamento 2021"
"105","P0056349","INQUILLA MAMANI, JUAN","Masculino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=56349",NA,"VI",2022-02-10,NA,"Entre 50 a 59 años","Reglamento 2021"
"106","P0016553","REYES NAVARRO, FELIPE AMERICO","Masculino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=16553",NA,"V",2022-02-10,NA,"Entre 50 a 59 años","Reglamento 2021"
"107","P0035522","LLANOS TEJADA, FELIX KONRAD","Masculino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=35522",NA,"VI",2022-02-10,NA,"Entre 40 a 49 años","Reglamento 2021"
"108","P0201785","PECHO SILVA, SAMUEL","Masculino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=201785",NA,"V",2022-02-10,NA,"Entre 40 a 49 años","Reglamento 2021"
"109","P0076632","CHON TORRES, OCTAVIO ALFONSO","Masculino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=76632",NA,"V",2022-02-10,NA,"Entre 30 a 39 años","Reglamento 2021"
"110","P0018047","ARROYO HERNANDEZ, CARLOS HUGO","Masculino","https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=18047",NA,"V",2022-02-08,NA,"Entre 40 a 49 años","Reglamento 2021"
